"statename","year","BDRM1","BDRM2","Studio","MGR_all","state"
"Rhode Island",2015,710,968,642,938,"RI"
"Rhode Island",2016,761,988,677,948,"RI"
"Rhode Island",2016,761,988,677,948,"RI"
"Rhode Island",2016,761,988,677,948,"RI"
"Rhode Island",2017,715,1000,629,941,"RI"
"Rhode Island",2017,715,1000,629,941,"RI"
"Rhode Island",2017,715,1000,629,941,"RI"
"Rhode Island",2018,768,1065,725,998,"RI"
"Rhode Island",2018,768,1065,725,998,"RI"
"Rhode Island",2018,768,1065,725,998,"RI"
"Rhode Island",2019,845,1090,798,1043,"RI"
"Rhode Island",2019,845,1090,798,1043,"RI"
"Rhode Island",2019,845,1090,798,1043,"RI"
"South Carolina",2015,655,783,668,819,"SC"
"South Carolina",2015,655,783,668,819,"SC"
"South Carolina",2015,655,783,668,819,"SC"
"South Carolina",2016,689,799,731,841,"SC"
"South Carolina",2016,689,799,731,841,"SC"
"South Carolina",2016,689,799,731,841,"SC"
"South Carolina",2017,727,822,696,848,"SC"
"South Carolina",2017,727,822,696,848,"SC"
"South Carolina",2017,727,822,696,848,"SC"
"South Carolina",2018,778,839,737,892,"SC"
"South Carolina",2018,778,839,737,892,"SC"
"South Carolina",2018,778,839,737,892,"SC"
"South Carolina",2019,827,879,667,922,"SC"
"South Carolina",2019,827,879,667,922,"SC"
"South Carolina",2019,827,879,667,922,"SC"
"South Dakota",2015,532,692,423,675,"SD"
"South Dakota",2015,532,692,423,675,"SD"
"South Dakota",2015,532,692,423,675,"SD"
"South Dakota",2016,512,758,559,706,"SD"
"South Dakota",2016,512,758,559,706,"SD"
"South Dakota",2016,512,758,559,706,"SD"
"South Dakota",2017,556,752,575,722,"SD"
"South Dakota",2017,556,752,575,722,"SD"
"South Dakota",2017,556,752,575,722,"SD"
"South Dakota",2018,564,755,563,734,"SD"
"South Dakota",2018,564,755,563,734,"SD"
"South Dakota",2018,564,755,563,734,"SD"
"South Dakota",2019,600,790,592,769,"SD"
"South Dakota",2019,600,790,592,769,"SD"
"South Dakota",2019,600,790,592,769,"SD"
"Tennessee",2015,632,755,577,785,"TN"
"Tennessee",2015,632,755,577,785,"TN"
"Tennessee",2015,632,755,577,785,"TN"
"Tennessee",2016,668,779,642,806,"TN"
"Tennessee",2016,668,779,642,806,"TN"
"Tennessee",2016,668,779,642,806,"TN"
"Tennessee",2017,683,787,669,833,"TN"
"Tennessee",2017,683,787,669,833,"TN"
"Tennessee",2017,683,787,669,833,"TN"
"Tennessee",2018,716,828,745,861,"TN"
"Tennessee",2018,716,828,745,861,"TN"
"Tennessee",2018,716,828,745,861,"TN"
"Tennessee",2019,780,866,746,904,"TN"
"Tennessee",2019,780,866,746,904,"TN"
"Tennessee",2019,780,866,746,904,"TN"
"Texas",2015,792,919,740,932,"TX"
"Texas",2015,792,919,740,932,"TX"
"Texas",2015,792,919,740,932,"TX"
"Texas",2016,832,939,779,956,"TX"
"Texas",2016,832,939,779,956,"TX"
"Texas",2016,832,939,779,956,"TX"
"Texas",2017,863,973,788,987,"TX"
"Texas",2017,863,973,788,987,"TX"
"Texas",2017,863,973,788,987,"TX"
"Texas",2018,914,1040,845,1046,"TX"
"Texas",2018,914,1040,845,1046,"TX"
"Texas",2018,914,1040,845,1046,"TX"
"Texas",2019,954,1083,900,1091,"TX"
"Texas",2019,954,1083,900,1091,"TX"
"Texas",2019,954,1083,900,1091,"TX"
"Utah",2015,750,857,580,925,"UT"
"Utah",2015,750,857,580,925,"UT"
"Utah",2015,750,857,580,925,"UT"
"Utah",2016,764,893,734,954,"UT"
"Utah",2016,764,893,734,954,"UT"
"Utah",2016,764,893,734,954,"UT"
"Utah",2017,804,920,684,986,"UT"
"Utah",2017,804,920,684,986,"UT"
"Utah",2017,804,920,684,986,"UT"
"Utah",2018,845,959,789,1043,"UT"
"Utah",2018,845,959,789,1043,"UT"
"Utah",2018,845,959,789,1043,"UT"
"Utah",2019,922,1055,835,1098,"UT"
"Utah",2019,922,1055,835,1098,"UT"
"Utah",2019,922,1055,835,1098,"UT"
"Vermont",2015,778,1041,640,923,"VT"
"Vermont",2015,778,1041,640,923,"VT"
"Vermont",2015,778,1041,640,923,"VT"
"Vermont",2016,765,1023,745,925,"VT"
"Vermont",2016,765,1023,745,925,"VT"
"Vermont",2016,765,1023,745,925,"VT"
"Vermont",2017,761,1078,683,950,"VT"
"Vermont",2017,761,1078,683,950,"VT"
"Vermont",2017,761,1078,683,950,"VT"
"Vermont",2018,797,1131,706,969,"VT"
"Vermont",2018,797,1131,706,969,"VT"
"Vermont",2018,797,1131,706,969,"VT"
"Vermont",2019,825,1127,794,980,"VT"
"Vermont",2019,825,1127,794,980,"VT"
"Vermont",2019,825,1127,794,980,"VT"
"Virginia",2015,991,1064,1001,1144,"VA"
"Virginia",2015,991,1064,1001,1144,"VA"
"Virginia",2015,991,1064,1001,1144,"VA"
"Virginia",2016,1024,1064,1081,1159,"VA"
"Virginia",2016,1024,1064,1081,1159,"VA"
"Virginia",2016,1024,1064,1081,1159,"VA"
"Virginia",2017,1063,1074,1087,1179,"VA"
"Virginia",2017,1063,1074,1087,1179,"VA"
"Virginia",2017,1063,1074,1087,1179,"VA"
"Virginia",2018,1131,1126,1112,1215,"VA"
"Virginia",2018,1131,1126,1112,1215,"VA"
"Virginia",2018,1131,1126,1112,1215,"VA"
"Virginia",2019,1153,1172,1264,1254,"VA"
"Virginia",2019,1153,1172,1264,1254,"VA"
"Virginia",2019,1153,1172,1264,1254,"VA"
"Washington",2015,872,1031,872,1080,"WA"
"Washington",2015,872,1031,872,1080,"WA"
"Washington",2015,872,1031,872,1080,"WA"
"Washington",2016,953,1088,944,1135,"WA"
"Washington",2016,953,1088,944,1135,"WA"
"Washington",2016,953,1088,944,1135,"WA"
"Washington",2017,1030,1180,1066,1216,"WA"
"Washington",2017,1030,1180,1066,1216,"WA"
"Washington",2017,1030,1180,1066,1216,"WA"
"Washington",2018,1149,1259,1134,1316,"WA"
"Washington",2018,1149,1259,1134,1316,"WA"
"Washington",2018,1149,1259,1134,1316,"WA"
"Washington",2019,1190,1336,1171,1359,"WA"
"Washington",2019,1190,1336,1171,1359,"WA"
"Washington",2019,1190,1336,1171,1359,"WA"
"West Virginia",2015,495,670,754,675,"WV"
"West Virginia",2015,495,670,754,675,"WV"
"West Virginia",2015,495,670,754,675,"WV"
"West Virginia",2016,515,672,595,682,"WV"
"West Virginia",2016,515,672,595,682,"WV"
"West Virginia",2016,515,672,595,682,"WV"
"West Virginia",2017,515,691,434,690,"WV"
"West Virginia",2017,515,691,434,690,"WV"
"West Virginia",2017,515,691,434,690,"WV"
"West Virginia",2018,557,723,667,735,"WV"
"West Virginia",2018,557,723,667,735,"WV"
"West Virginia",2018,557,723,667,735,"WV"
"West Virginia",2019,540,739,539,727,"WV"
"West Virginia",2019,540,739,539,727,"WV"
"West Virginia",2019,540,739,539,727,"WV"
"Wisconsin",2015,633,810,607,792,"WI"
"Wisconsin",2015,633,810,607,792,"WI"
"Wisconsin",2015,633,810,607,792,"WI"
"Wisconsin",2016,658,808,607,802,"WI"
"Wisconsin",2016,658,808,607,802,"WI"
"Wisconsin",2016,658,808,607,802,"WI"
"Wisconsin",2017,658,830,646,819,"WI"
"Wisconsin",2017,658,830,646,819,"WI"
"Wisconsin",2017,658,830,646,819,"WI"
"Wisconsin",2018,688,860,647,847,"WI"
"Wisconsin",2018,688,860,647,847,"WI"
"Wisconsin",2018,688,860,647,847,"WI"
"Wisconsin",2019,706,881,727,867,"WI"
"Wisconsin",2019,706,881,727,867,"WI"
"Wisconsin",2019,706,881,727,867,"WI"
"Wyoming",2015,604,747,607,815,"WY"
"Wyoming",2015,604,747,607,815,"WY"
"Wyoming",2015,604,747,607,815,"WY"
"Wyoming",2016,644,785,631,840,"WY"
"Wyoming",2016,644,785,631,840,"WY"
"Wyoming",2016,644,785,631,840,"WY"
"Wyoming",2017,634,785,598,832,"WY"
"Wyoming",2017,634,785,598,832,"WY"
"Wyoming",2017,634,785,598,832,"WY"
"Wyoming",2018,605,785,725,818,"WY"
"Wyoming",2018,605,785,725,818,"WY"
"Wyoming",2018,605,785,725,818,"WY"
"Wyoming",2019,611,800,411,822,"WY"
"Wyoming",2019,611,800,411,822,"WY"
"Wyoming",2019,611,800,411,822,"WY"
