state,year,homeless_individual,homeless_family,statename,population,homeless_individual_rate,homeless_family_rate,unemployment_rate,poverty_rate,median_income,fmr_studio,mgr_studio,min_wage
ID,2017,1309,728,idaho,1717715,0.08,0.04,3.2,11.5,60210,518,605,7.25
ID,2018,1297,715,idaho,1750536,0.07,0.04,2.8,11.5,58730,533,599,7.25
ID,2019,1516,799,idaho,1787065,0.08,0.04,2.9,7.1,65990,526,625,7.25
IL,2015,8152,5025,illinois,12858913,0.06,0.04,6,10.9,60410,476,753,8.25
IL,2016,6986,4604,illinois,12820527,0.05,0.04,5.8,12.1,61390,484,786,8.25
IL,2017,6894,3904,illinois,12778828,0.05,0.03,4.9,11.5,64610,515,801,8.25
IL,2018,6752,3891,illinois,12723071,0.05,0.03,4.3,10.3,70150,528,842,8.25
IL,2019,6513,3686,illinois,12671821,0.05,0.03,4,9.3,74400,551,855,9.25
IN,2015,3914,1949,indiana,6608422,0.06,0.03,4.8,13.5,51980,458,578,7.25
IN,2016,3824,1974,indiana,6634304,0.06,0.03,4.4,11.8,56090,487,570,7.25
IN,2017,3623,1815,indiana,6658078,0.05,0.03,3.6,11.7,58870,505,590,7.25
IN,2018,3776,1482,indiana,6695497,0.06,0.02,3.4,11.6,59890,529,627,7.25
IN,2019,3783,1688,indiana,6732219,0.06,0.03,3.3,10.1,66690,533,661,7.25
KS,2015,1466,1122,kansas,2909011,0.05,0.04,4.2,14.2,54870,438,593,7.25
KS,2016,1228,1027,kansas,2910844,0.04,0.04,4,11.2,56810,487,589,7.25
KS,2017,1423,864,kansas,2908718,0.05,0.03,3.7,14.3,57870,511,617,7.25
KS,2018,1443,773,kansas,2911359,0.05,0.03,3.4,7.5,63940,522,707,7.25
KS,2019,1742,639,kansas,2913314,0.06,0.02,3.3,9.5,73150,513,651,7.25
KY,2015,3151,1387,kentucky,4425976,0.07,0.03,5.3,19.5,42390,442,508,7.25
KY,2016,2949,1288,kentucky,4438182,0.07,0.03,5.1,15.2,45370,475,500,7.25
KY,2017,3032,993,kentucky,4452268,0.07,0.02,4.9,13.5,51350,477,507,7.25
KY,2018,2735,953,kentucky,4461153,0.06,0.02,4.3,15.7,54560,484,575,7.25
KY,2019,3073,1006,kentucky,4467673,0.07,0.02,4.1,13.6,55660,492,574,7.25
LA,2015,3217,864,louisiana,4664628,0.07,0.02,6.3,18.6,45920,522,653,0
LA,2016,3176,818,louisiana,4678135,0.07,0.02,6.1,20.2,42200,517,632,0
LA,2017,2559,746,louisiana,4670560,0.05,0.02,5.1,20.5,43900,540,587,0
LA,2018,2540,519,louisiana,4659690,0.05,0.01,4.9,19,49970,579,614,0
LA,2019,2416,525,louisiana,4648794,0.05,0.01,4.6,17.9,51710,583,710,0
MA,2015,6378,14757,massachusetts,6794228,0.09,0.22,4.8,11.5,67860,812,910,9
