"State","year","rent_type","value"
"Delaware","2017","MGR - 2 BDRM",1099
"Delaware","2018","MGR - Total",1108
"Delaware","2018","MGR - Studio",864
"Delaware","2018","MGR - 1 BDRM",875
"Delaware","2018","MGR - 2 BDRM",1093
"Delaware","2019","MGR - Total",1116
"Delaware","2019","MGR - Studio",973
"Delaware","2019","MGR - 1 BDRM",932
"Delaware","2019","MGR - 2 BDRM",1112
"District of Columbia","2015","MGR - Total",1417
"District of Columbia","2015","MGR - Studio",1376
"District of Columbia","2015","MGR - 1 BDRM",1388
"District of Columbia","2015","MGR - 2 BDRM",1347
"District of Columbia","2016","MGR - Total",1376
"District of Columbia","2016","MGR - Studio",1358
"District of Columbia","2016","MGR - 1 BDRM",1326
"District of Columbia","2016","MGR - 2 BDRM",1348
"District of Columbia","2017","MGR - Total",1499
"District of Columbia","2017","MGR - Studio",1541
"District of Columbia","2017","MGR - 1 BDRM",1352
"District of Columbia","2017","MGR - 2 BDRM",1566
"District of Columbia","2018","MGR - Total",1516
"District of Columbia","2018","MGR - Studio",1514
"District of Columbia","2018","MGR - 1 BDRM",1504
"District of Columbia","2018","MGR - 2 BDRM",1432
"District of Columbia","2019","MGR - Total",1603
"District of Columbia","2019","MGR - Studio",1573
"District of Columbia","2019","MGR - 1 BDRM",1607
"District of Columbia","2019","MGR - 2 BDRM",1594
"Florida","2015","MGR - Total",1046
"Florida","2015","MGR - Studio",783
"Florida","2015","MGR - 1 BDRM",845
"Florida","2015","MGR - 2 BDRM",1024
"Florida","2016","MGR - Total",1086
"Florida","2016","MGR - Studio",840
"Florida","2016","MGR - 1 BDRM",884
"Florida","2016","MGR - 2 BDRM",1073
"Florida","2017","MGR - Total",1128
"Florida","2017","MGR - Studio",858
"Florida","2017","MGR - 1 BDRM",938
"Florida","2017","MGR - 2 BDRM",1113
"Florida","2018","MGR - Total",1182
"Florida","2018","MGR - Studio",931
"Florida","2018","MGR - 1 BDRM",974
"Florida","2018","MGR - 2 BDRM",1176
"Florida","2019","MGR - Total",1238
"Florida","2019","MGR - Studio",1002
"Florida","2019","MGR - 1 BDRM",1040
"Florida","2019","MGR - 2 BDRM",1240
"Georgia","2015","MGR - Total",909
