"statename","year","BDRM1","BDRM2","Studio","MGR_all","state","homeless_total","homeless_individual","homeless_family","population","homeless_total_rate","homeless_individual_rate","homeless_family_rate"
"California",2017,1208,1480,1086,1447,"CA",131532,110260,21272,39358497,0.33,0.28,0.05
"California",2017,1208,1480,1086,1447,"CA",131532,110260,21272,39358497,0.33,0.28,0.05
"California",2018,1291,1562,1150,1520,"CA",129972,109008,20964,39461588,0.33,0.28,0.05
"California",2018,1291,1562,1150,1520,"CA",129972,109008,20964,39461588,0.33,0.28,0.05
"California",2018,1291,1562,1150,1520,"CA",129972,109008,20964,39461588,0.33,0.28,0.05
"California",2019,1379,1655,1248,1614,"CA",151278,128777,22501,39512223,0.38,0.33,0.06
"California",2019,1379,1655,1248,1614,"CA",151278,128777,22501,39512223,0.38,0.33,0.06
"California",2019,1379,1655,1248,1614,"CA",151278,128777,22501,39512223,0.38,0.33,0.06
"Colorado",2015,910,1098,815,1111,"CO",9953,5729,4224,5450623,0.18,0.11,0.08
"Colorado",2015,910,1098,815,1111,"CO",9953,5729,4224,5450623,0.18,0.11,0.08
"Colorado",2015,910,1098,815,1111,"CO",9953,5729,4224,5450623,0.18,0.11,0.08
"Colorado",2016,973,1162,855,1171,"CO",10550,6450,4100,5539215,0.19,0.12,0.07
"Colorado",2016,973,1162,855,1171,"CO",10550,6450,4100,5539215,0.19,0.12,0.07
"Colorado",2016,973,1162,855,1171,"CO",10550,6450,4100,5539215,0.19,0.12,0.07
"Colorado",2017,1051,1238,947,1240,"CO",10940,7571,3369,5611885,0.19,0.13,0.06
"Colorado",2017,1051,1238,947,1240,"CO",10940,7571,3369,5611885,0.19,0.13,0.06
"Colorado",2017,1051,1238,947,1240,"CO",10940,7571,3369,5611885,0.19,0.13,0.06
"Colorado",2018,1119,1302,976,1289,"CO",10857,7607,3250,5691287,0.19,0.13,0.06
"Colorado",2018,1119,1302,976,1289,"CO",10857,7607,3250,5691287,0.19,0.13,0.06
"Colorado",2018,1119,1302,976,1289,"CO",10857,7607,3250,5691287,0.19,0.13,0.06
"Colorado",2019,1196,1391,1068,1369,"CO",9619,7263,2356,5758736,0.17,0.13,0.04
"Colorado",2019,1196,1391,1068,1369,"CO",9619,7263,2356,5758736,0.17,0.13,0.04
"Colorado",2019,1196,1391,1068,1369,"CO",9619,7263,2356,5758736,0.17,0.13,0.04
"Connecticut",2015,905,1151,740,1108,"CT",4047,2719,1328,3587122,0.11,0.08,0.04
"Connecticut",2015,905,1151,740,1108,"CT",4047,2719,1328,3587122,0.11,0.08,0.04
"Connecticut",2015,905,1151,740,1108,"CT",4047,2719,1328,3587122,0.11,0.08,0.04
"Connecticut",2016,927,1158,722,1115,"CT",3902,2570,1332,3578141,0.11,0.07,0.04
"Connecticut",2016,927,1158,722,1115,"CT",3902,2570,1332,3578141,0.11,0.07,0.04
"Connecticut",2016,927,1158,722,1115,"CT",3902,2570,1332,3578141,0.11,0.07,0.04
"Connecticut",2017,927,1188,780,1125,"CT",3388,2208,1180,3573297,0.09,0.06,0.03
"Connecticut",2017,927,1188,780,1125,"CT",3388,2208,1180,3573297,0.09,0.06,0.03
"Connecticut",2017,927,1188,780,1125,"CT",3388,2208,1180,3573297,0.09,0.06,0.03
"Connecticut",2018,951,1226,802,1171,"CT",3976,2280,1696,3571520,0.11,0.06,0.05
"Connecticut",2018,951,1226,802,1171,"CT",3976,2280,1696,3571520,0.11,0.06,0.05
"Connecticut",2018,951,1226,802,1171,"CT",3976,2280,1696,3571520,0.11,0.06,0.05
"Connecticut",2019,964,1233,846,1177,"CT",3033,2100,933,3565287,0.09,0.06,0.03
"Connecticut",2019,964,1233,846,1177,"CT",3033,2100,933,3565287,0.09,0.06,0.03
"Connecticut",2019,964,1233,846,1177,"CT",3033,2100,933,3565287,0.09,0.06,0.03
"Delaware",2015,827,1028,823,1049,"DE",953,602,351,941252,0.1,0.06,0.04
"Delaware",2015,827,1028,823,1049,"DE",953,602,351,941252,0.1,0.06,0.04
"Delaware",2015,827,1028,823,1049,"DE",953,602,351,941252,0.1,0.06,0.04
"Delaware",2016,860,1020,870,1048,"DE",1070,753,317,948921,0.11,0.08,0.03
"Delaware",2016,860,1020,870,1048,"DE",1070,753,317,948921,0.11,0.08,0.03
"Delaware",2016,860,1020,870,1048,"DE",1070,753,317,948921,0.11,0.08,0.03
"Delaware",2017,880,1099,842,1086,"DE",994,615,379,956823,0.1,0.06,0.04
"Delaware",2017,880,1099,842,1086,"DE",994,615,379,956823,0.1,0.06,0.04
"Delaware",2017,880,1099,842,1086,"DE",994,615,379,956823,0.1,0.06,0.04
"Delaware",2018,875,1093,864,1108,"DE",1082,708,374,965479,0.11,0.07,0.04
"Delaware",2018,875,1093,864,1108,"DE",1082,708,374,965479,0.11,0.07,0.04
"Delaware",2018,875,1093,864,1108,"DE",1082,708,374,965479,0.11,0.07,0.04
"Delaware",2019,932,1112,973,1116,"DE",921,565,356,973764,0.09,0.06,0.04
"Delaware",2019,932,1112,973,1116,"DE",921,565,356,973764,0.09,0.06,0.04
"Delaware",2019,932,1112,973,1116,"DE",921,565,356,973764,0.09,0.06,0.04
"District of Columbia",2015,1388,1347,1376,1417,"DC",7298,3821,3477,675400,1.08,0.57,0.51
"District of Columbia",2015,1388,1347,1376,1417,"DC",7298,3821,3477,675400,1.08,0.57,0.51
"District of Columbia",2015,1388,1347,1376,1417,"DC",7298,3821,3477,675400,1.08,0.57,0.51
"District of Columbia",2016,1326,1348,1358,1376,"DC",8350,3683,4667,685815,1.22,0.54,0.68
"District of Columbia",2016,1326,1348,1358,1376,"DC",8350,3683,4667,685815,1.22,0.54,0.68
"District of Columbia",2016,1326,1348,1358,1376,"DC",8350,3683,4667,685815,1.22,0.54,0.68
"District of Columbia",2017,1352,1566,1541,1499,"DC",7473,3583,3890,694906,1.08,0.52,0.56
"District of Columbia",2017,1352,1566,1541,1499,"DC",7473,3583,3890,694906,1.08,0.52,0.56
"District of Columbia",2017,1352,1566,1541,1499,"DC",7473,3583,3890,694906,1.08,0.52,0.56
"District of Columbia",2018,1504,1432,1514,1516,"DC",6904,3770,3134,701547,0.98,0.54,0.45
"District of Columbia",2018,1504,1432,1514,1516,"DC",6904,3770,3134,701547,0.98,0.54,0.45
"District of Columbia",2018,1504,1432,1514,1516,"DC",6904,3770,3134,701547,0.98,0.54,0.45
"District of Columbia",2019,1607,1594,1573,1603,"DC",6521,3875,2646,705749,0.92,0.55,0.37
"District of Columbia",2019,1607,1594,1573,1603,"DC",6521,3875,2646,705749,0.92,0.55,0.37
"District of Columbia",2019,1607,1594,1573,1603,"DC",6521,3875,2646,705749,0.92,0.55,0.37
"Florida",2015,845,1024,783,1046,"FL",35900,26325,9575,20209042,0.18,0.13,0.05
"Florida",2015,845,1024,783,1046,"FL",35900,26325,9575,20209042,0.18,0.13,0.05
"Florida",2015,845,1024,783,1046,"FL",35900,26325,9575,20209042,0.18,0.13,0.05
"Florida",2016,884,1073,840,1086,"FL",33559,24201,9358,20613477,0.16,0.12,0.05
"Florida",2016,884,1073,840,1086,"FL",33559,24201,9358,20613477,0.16,0.12,0.05
"Florida",2016,884,1073,840,1086,"FL",33559,24201,9358,20613477,0.16,0.12,0.05
"Florida",2017,938,1113,858,1128,"FL",32190,22768,9422,20963613,0.15,0.11,0.04
"Florida",2017,938,1113,858,1128,"FL",32190,22768,9422,20963613,0.15,0.11,0.04
"Florida",2017,938,1113,858,1128,"FL",32190,22768,9422,20963613,0.15,0.11,0.04
"Florida",2018,974,1176,931,1182,"FL",31030,21443,9587,21244317,0.15,0.1,0.05
"Florida",2018,974,1176,931,1182,"FL",31030,21443,9587,21244317,0.15,0.1,0.05
"Florida",2018,974,1176,931,1182,"FL",31030,21443,9587,21244317,0.15,0.1,0.05
"Florida",2019,1040,1240,1002,1238,"FL",28328,21265,7063,21477737,0.13,0.1,0.03
"Florida",2019,1040,1240,1002,1238,"FL",28328,21265,7063,21477737,0.13,0.1,0.03
"Florida",2019,1040,1240,1002,1238,"FL",28328,21265,7063,21477737,0.13,0.1,0.03
"Georgia",2015,785,852,753,909,"GA",13790,9702,4088,10178447,0.14,0.1,0.04
"Georgia",2015,785,852,753,909,"GA",13790,9702,4088,10178447,0.14,0.1,0.04
"Georgia",2015,785,852,753,909,"GA",13790,9702,4088,10178447,0.14,0.1,0.04
"Georgia",2016,823,871,722,933,"GA",12909,9265,3644,10301890,0.13,0.09,0.04
"Georgia",2016,823,871,722,933,"GA",12909,9265,3644,10301890,0.13,0.09,0.04
"Georgia",2016,823,871,722,933,"GA",12909,9265,3644,10301890,0.13,0.09,0.04
"Georgia",2017,859,887,761,958,"GA",10174,7422,2752,10410330,0.1,0.07,0.03
"Georgia",2017,859,887,761,958,"GA",10174,7422,2752,10410330,0.1,0.07,0.03
"Georgia",2017,859,887,761,958,"GA",10174,7422,2752,10410330,0.1,0.07,0.03
"Georgia",2018,917,940,853,1008,"GA",9499,6943,2556,10511131,0.09,0.07,0.02
"Georgia",2018,917,940,853,1008,"GA",9499,6943,2556,10511131,0.09,0.07,0.02
"Georgia",2018,917,940,853,1008,"GA",9499,6943,2556,10511131,0.09,0.07,0.02
"Georgia",2019,985,977,885,1049,"GA",10443,7913,2530,10617423,0.1,0.07,0.02
"Georgia",2019,985,977,885,1049,"GA",10443,7913,2530,10617423,0.1,0.07,0.02
"Georgia",2019,985,977,885,1049,"GA",10443,7913,2530,10617423,0.1,0.07,0.02
"Hawaii",2015,1173,1457,987,1500,"HI",7620,4307,3313,1422052,0.54,0.3,0.23
"Hawaii",2015,1173,1457,987,1500,"HI",7620,4307,3313,1422052,0.54,0.3,0.23
"Hawaii",2015,1173,1457,987,1500,"HI",7620,4307,3313,1422052,0.54,0.3,0.23
"Hawaii",2016,1143,1519,1061,1483,"HI",7921,4590,3331,1427559,0.55,0.32,0.23
"Hawaii",2016,1143,1519,1061,1483,"HI",7921,4590,3331,1427559,0.55,0.32,0.23
"Hawaii",2016,1143,1519,1061,1483,"HI",7921,4590,3331,1427559,0.55,0.32,0.23
"Hawaii",2017,1166,1598,1070,1573,"HI",7220,4535,2685,1424393,0.51,0.32,0.19
"Hawaii",2017,1166,1598,1070,1573,"HI",7220,4535,2685,1424393,0.51,0.32,0.19
"Hawaii",2017,1166,1598,1070,1573,"HI",7220,4535,2685,1424393,0.51,0.32,0.19
"Hawaii",2018,1186,1614,1016,1613,"HI",6530,4131,2399,1420593,0.46,0.29,0.17
"Hawaii",2018,1186,1614,1016,1613,"HI",6530,4131,2399,1420593,0.46,0.29,0.17
"Hawaii",2018,1186,1614,1016,1613,"HI",6530,4131,2399,1420593,0.46,0.29,0.17
"Hawaii",2019,1211,1719,1078,1651,"HI",6412,4420,1992,1415872,0.45,0.31,0.14
"Hawaii",2019,1211,1719,1078,1651,"HI",6412,4420,1992,1415872,0.45,0.31,0.14
"Hawaii",2019,1211,1719,1078,1651,"HI",6412,4420,1992,1415872,0.45,0.31,0.14
"Idaho",2015,572,720,515,770,"ID",1966,1172,794,1651059,0.12,0.07,0.05
"Idaho",2015,572,720,515,770,"ID",1966,1172,794,1651059,0.12,0.07,0.05
"Idaho",2015,572,720,515,770,"ID",1966,1172,794,1651059,0.12,0.07,0.05
"Idaho",2016,575,740,570,790,"ID",2247,1284,963,1682380,0.13,0.08,0.06
"Idaho",2016,575,740,570,790,"ID",2247,1284,963,1682380,0.13,0.08,0.06
"Idaho",2016,575,740,570,790,"ID",2247,1284,963,1682380,0.13,0.08,0.06
"Idaho",2017,603,769,605,822,"ID",2037,1309,728,1717715,0.12,0.08,0.04
"Idaho",2017,603,769,605,822,"ID",2037,1309,728,1717715,0.12,0.08,0.04
"Idaho",2017,603,769,605,822,"ID",2037,1309,728,1717715,0.12,0.08,0.04
"Idaho",2018,620,814,599,848,"ID",2012,1297,715,1750536,0.11,0.07,0.04
